year,oshpd_id2,oshpd_id,LICENSE_CATEGORY_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,DX_Infections,DX_Symptoms,ED_Visit,All_Other_Languages,English,Spanish,a_Sex_Female,a_Sex_Male,a_sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_DX_Infections,a_DX_Symptoms,Inpatient_from_ED,a_All_Other_Languages,a_English,a_Spanish
2019,106010735,10735,General Acute Care Hospital,2070 Clinton Ave,Alameda,94501,7529.0,6273.0,2.0,484.0,971.0,2667.0,2383.0,1942.0,1867.0,1582.0,1016.0,848.0,43.0,1.0,5969.0,2892.0,382.0,3197.0,1364.0,265.0,1787.0,13804.0,505.0,12726.0,549.0,1118.0,989.0,0.0,7.0,79.0,158.0,158.0,275.0,408.0,419.0,603.0,0.0,0.0,0.0,509.0,1280.0,19.0,242.0,57.0,394.0,24.0,2107.0,199.0,1835.0,71.0
2019,106010739,10739,General Acute Care Hospital,2450 Ashby Ave,Berkeley,94705,19379.0,14770.0,3.0,496.0,1875.0,7139.0,5922.0,4483.0,4655.0,4148.0,2951.0,2318.0,165.0,0.0,11963.0,8091.0,629.0,10673.0,2796.0,662.0,3628.0,34152.0,837.0,31580.0,1591.0,2718.0,2462.0,0.0,64.0,371.0,477.0,481.0,677.0,984.0,977.0,1141.0,8.0,0.0,0.0,1295.0,2361.0,43.0,1364.0,117.0,1101.0,70.0,5180.0,193.0,4737.0,235.0
2019,106010776,10776,General Acute Care Hospital,747 52nd St,Oakland,94609,17385.0,19268.0,3.0,20931.0,10160.0,527.0,68.0,47.0,25.0,8.0,0.0,1.0,4886.0,3.0,28036.0,145.0,414.0,5616.0,2444.0,2864.0,4447.0,36656.0,1810.0,24730.0,9905.0,2688.0,3326.0,0.0,1921.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1114.0,2879.0,0.0,3097.0,10.0,1214.0,1489.0,204.0,177.0,218.0,6014.0,249.0,4400.0,1335.0
2019,106010846,10846,General Acute Care Hospital,1411 E 31st St,Oakland,94602,28358.0,33217.0,12.0,932.0,2927.0,12030.0,12505.0,10539.0,10894.0,7676.0,2695.0,1172.0,214.0,3.0,36605.0,8187.0,5276.0,3386.0,8121.0,1822.0,6219.0,61587.0,3168.0,44558.0,13287.0,3438.0,5024.0,5.0,114.0,755.0,1076.0,1254.0,1675.0,1814.0,1014.0,753.0,12.0,0.0,0.0,3736.0,2758.0,66.0,1355.0,552.0,774.0,140.0,8467.0,638.0,6275.0,1466.0
2019,106010937,10937,General Acute Care Hospital,350 Hawthorne Ave,Oakland,94609,19526.0,15368.0,0.0,212.0,866.0,5270.0,5670.0,4608.0,5625.0,5359.0,3783.0,3478.0,23.0,0.0,14563.0,10714.0,563.0,6479.0,2575.0,741.0,3677.0,34894.0,2655.0,30939.0,1088.0,4400.0,4338.0,0.0,14.0,259.0,480.0,652.0,1259.0,1909.0,1924.0,2241.0,0.0,0.0,0.0,2102.0,5017.0,152.0,1341.0,126.0,1810.0,124.0,8738.0,1168.0,7190.0,329.0
2019,106010967,10967,General Acute Care Hospital,27200 Calaroga Ave,Hayward,94545,15706.0,13763.0,2.0,2688.0,2998.0,4910.0,5081.0,3906.0,3853.0,2941.0,1596.0,1038.0,460.0,0.0,16053.0,4330.0,2559.0,3578.0,2950.0,431.0,3086.0,29471.0,1635.0,21343.0,6487.0,1735.0,1845.0,0.0,29.0,146.0,222.0,273.0,550.0,833.0,715.0,812.0,0.0,0.0,0.0,1425.0,1641.0,6.0,428.0,80.0,453.0,51.0,3580.0,510.0,2556.0,512.0
2019,106010987,10987,General Acute Care Hospital,2000 Mowry Ave,Fremont,94538,22770.0,20801.0,2.0,4701.0,3839.0,6226.0,6475.0,4944.0,5507.0,4545.0,3212.0,3240.0,884.0,0.0,17357.0,10253.0,1075.0,10676.0,3843.0,1262.0,5258.0,43573.0,2651.0,38584.0,1995.0,4432.0,4186.0,0.0,61.0,184.0,365.0,579.0,1100.0,1611.0,1796.0,2774.0,64.0,84.0,0.0,1722.0,5093.0,141.0,1494.0,168.0,698.0,110.0,8618.0,1297.0,6849.0,377.0
2019,106013619,13619,General Acute Care Hospital,13855 E 14th St,San Leandro,94578,8551.0,7128.0,7.0,540.0,909.0,3136.0,2890.0,2398.0,2722.0,1856.0,725.0,462.0,48.0,0.0,9134.0,2583.0,829.0,1496.0,1644.0,396.0,1818.0,15686.0,391.0,14005.0,1252.0,715.0,780.0,1.0,4.0,57.0,114.0,146.0,282.0,371.0,259.0,263.0,0.0,0.0,0.0,593.0,683.0,80.0,109.0,31.0,201.0,11.0,1496.0,97.0,1276.0,118.0
2019,106014034,14034,Acute Psychiatric Hospital,39001 Sundale Dr,Fremont,94538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
2019,106014050,14050,General Acute Care Hospital,5555 W Las Positas Blvd,Pleasanton,94588,14644.0,13238.0,1.0,2558.0,2566.0,3783.0,4256.0,3510.0,3674.0,2661.0,2236.0,2109.0,530.0,0.0,4311.0,1363.0,8583.0,10850.0,2776.0,543.0,3686.0,27883.0,715.0,25944.0,1215.0,2023.0,2036.0,0.0,39.0,133.0,239.0,311.0,579.0,638.0,871.0,1195.0,23.0,31.0,0.0,589.0,2285.0,251.0,822.0,112.0,804.0,31.0,4059.0,224.0,3697.0,135.0
2019,106014132,14132,General Acute Care Hospital,39400 Paseo Padre Pkwy,Fremont,94538,20026.0,18219.0,4.0,3723.0,3220.0,4886.0,5306.0,4421.0,4708.0,4033.0,3666.0,3717.0,569.0,0.0,4790.0,9212.0,660.0,21689.0,1897.0,925.0,5176.0,38249.0,1929.0,34676.0,1613.0,1517.0,1567.0,0.0,14.0,71.0,169.0,201.0,370.0,510.0,693.0,1056.0,0.0,0.0,0.0,129.0,2082.0,8.0,829.0,36.0,955.0,29.0,3084.0,210.0,2759.0,114.0
2019,106014233,14233,General Acute Care Hospital,20103 Lake Chabot Rd,Castro Valley,94546,20655.0,16396.0,4.0,2868.0,2917.0,5918.0,5913.0,4442.0,5010.0,4190.0,2661.0,2534.0,602.0,0.0,15994.0,7861.0,677.0,9291.0,3232.0,781.0,4376.0,37055.0,1279.0,32910.0,2789.0,3471.0,3608.0,0.0,64.0,319.0,474.0,548.0,1140.0,1420.0,1307.0,1807.0,0.0,0.0,0.0,1712.0,3646.0,122.0,1463.0,136.0,1333.0,73.0,7079.0,493.0,6101.0,474.0
2019,106014326,14326,General Acute Care Hospital,275 W Macarthur Blvd,Oakland,94611,66283.0,55104.0,12.0,10607.0,9602.0,19734.0,18851.0,14781.0,15113.0,13160.0,9879.0,7796.0,1876.0,0.0,32584.0,24808.0,2413.0,49419.0,12165.0,3182.0,15855.0,121399.0,3195.0,107747.0,10374.0,5933.0,5736.0,0.0,214.0,393.0,708.0,904.0,1560.0,2384.0,2413.0,2748.0,100.0,245.0,0.0,1396.0,6669.0,47.0,3257.0,298.0,2338.0,153.0,11669.0,503.0,10471.0,683.0
2019,106014337,14337,General Acute Care Hospital,2500 Merced St,San Leandro,94577,39293.0,31434.0,3.0,6797.0,5629.0,10949.0,9765.0,8359.0,8983.0,7734.0,5839.0,5301.0,1374.0,0.0,11390.0,14717.0,1376.0,39006.0,4239.0,1875.0,9475.0,70730.0,2300.0,61576.0,6812.0,2937.0,2602.0,0.0,27.0,237.0,357.0,421.0,714.0,1092.0,1229.0,1444.0,18.0,0.0,0.0,350.0,3332.0,13.0,1733.0,111.0,1615.0,49.0,5539.0,281.0,4890.0,365.0
2019,106034002,34002,General Acute Care Hospital,200 Mission Blvd,Jackson,95642,11546.0,9942.0,0.0,1832.0,1724.0,2460.0,2504.0,2261.0,2807.0,3009.0,2561.0,1979.0,351.0,0.0,7580.0,6901.0,958.0,4727.0,1322.0,407.0,2561.0,21488.0,32.0,21112.0,324.0,980.0,870.0,0.0,10.0,40.0,67.0,99.0,229.0,376.0,474.0,554.0,1.0,0.0,0.0,261.0,1310.0,59.0,199.0,21.0,450.0,22.0,1850.0,4.0,1837.0,8.0
2019,106040802,40802,General Acute Care Hospital,240 Spruce St,Gridley,95948,5598.0,4458.0,1.0,1274.0,1106.0,1453.0,1466.0,1275.0,1239.0,962.0,573.0,489.0,220.0,0.0,5919.0,2042.0,22.0,1392.0,682.0,261.0,928.0,10057.0,61.0,8964.0,1029.0,195.0,134.0,0.0,2.0,15.0,14.0,30.0,44.0,71.0,53.0,100.0,0.0,0.0,0.0,85.0,218.0,0.0,23.0,3.0,23.0,4.0,329.0,4.0,299.0,26.0
2019,106040937,40937,General Acute Care Hospital,2767 Olive Hwy,Oroville,95966,5316.0,4914.0,0.0,960.0,878.0,1611.0,1685.0,1381.0,1302.0,1079.0,622.0,460.0,252.0,0.0,5187.0,2382.0,494.0,1470.0,697.0,157.0,1490.0,10230.0,141.0,9878.0,211.0,6405.0,5897.0,0.0,197.0,624.0,1047.0,1325.0,2233.0,2712.0,2006.0,2019.0,53.0,86.0,0.0,4514.0,6375.0,235.0,966.0,212.0,3761.0,421.0,12302.0,247.0,11859.0,195.0
2019,106040962,40962,General Acute Care Hospital,1531 Esplanade,Chico,95926,34290.0,27690.0,2.0,5468.0,6232.0,11059.0,9041.0,6521.0,6936.0,6566.0,4949.0,3991.0,1219.0,0.0,27211.0,15219.0,1692.0,13784.0,4076.0,1216.0,7625.0,61982.0,428.0,57839.0,3636.0,7290.0,7287.0,0.0,219.0,684.0,940.0,1137.0,1923.0,2967.0,3159.0,3304.0,86.0,158.0,0.0,3099.0,8521.0,110.0,2580.0,267.0,1688.0,187.0,14577.0,172.0,13640.0,746.0
2019,106050932,50932,General Acute Care Hospital,768 Mountain Ranch Rd,San Andreas,95249,5422.0,4727.0,1.0,805.0,1048.0,1161.0,1232.0,1069.0,1451.0,1374.0,1121.0,783.0,106.0,0.0,4222.0,2986.0,315.0,2137.0,490.0,244.0,1021.0,10150.0,17.0,9967.0,144.0,447.0,380.0,0.0,9.0,18.0,26.0,46.0,123.0,187.0,209.0,209.0,0.0,0.0,0.0,164.0,538.0,21.0,95.0,9.0,124.0,10.0,827.0,1.0,820.0,6.0
2019,106060870,60870,General Acute Care Hospital,199 E Webster St,Colusa,95932,3241.0,2922.0,0.0,1029.0,848.0,883.0,847.0,651.0,662.0,524.0,334.0,277.0,108.0,0.0,3499.0,994.0,170.0,960.0,538.0,170.0,628.0,6163.0,7.0,5017.0,1126.0,359.0,305.0,0.0,1.0,20.0,37.0,59.0,134.0,131.0,134.0,148.0,0.0,0.0,0.0,179.0,391.0,10.0,55.0,29.0,115.0,13.0,664.0,0.0,552.0,112.0
